table_name,column_name,data_type,nullable,description,notes,additional_info
silver.incident_flattened,time_to_close_hours,DECIMAL(10|2),true,Hours from open to close,Derived: (closed_at - opened_at),
silver.incident_flattened,first_response_hours,DECIMAL(10|2),true,Hours to first response,Derived from work_start,
silver.incident_flattened,reopened_by_id,STRING,true,User sys_id who reopened,Extracted from struct.value,
silver.incident_flattened,reopened_time,TIMESTAMP,true,When reopened,Datetime,
silver.incident_flattened,contract_id,STRING,true,Contract sys_id,Extracted from struct.value,
silver.incident_flattened,_databricks_deleted,BOOLEAN,true,Soft delete flag,LakeFlow managed,
silver.incident_flattened,__START_AT,TIMESTAMP,true,SCD2 validity start,Passthrough for temporal queries,
silver.incident_flattened,__END_AT,TIMESTAMP,true,SCD2 validity end,Passthrough for temporal queries,
silver.incident_flattened,_silver_processed_at,TIMESTAMP,false,Silver layer processing time,Audit column,
silver.incident_current,sys_id,STRING,false,ServiceNow unique record identifier,Primary key - current view,
silver.incident_current,number,STRING,true,Incident number,Human-readable identifier,
silver.incident_current,short_description,STRING,true,Brief incident summary,Current value only,
silver.incident_current,state,INT,true,Current incident state code,Latest state,
silver.incident_current,state_name,STRING,true,Current state name,Derived,
silver.incident_current,priority,INT,true,Current priority level,Latest priority,
silver.incident_current,priority_name,STRING,true,Current priority name,Derived,
silver.incident_current,assigned_to_id,STRING,true,Current assigned technician,Latest assignment,
silver.incident_current,assignment_group_id,STRING,true,Current assigned group,Latest assignment,
silver.incident_current,opened_at,TIMESTAMP,true,When incident was opened,Original open time,
silver.incident_current,resolved_at,TIMESTAMP,true,When incident was resolved,Latest resolution,
silver.incident_current,closed_at,TIMESTAMP,true,When incident was closed,Latest close time,
silver.incident_current,time_to_resolve_hours,DECIMAL(10|2),true,Hours to resolve,Calculated metric,
silver.incident_current,made_sla,BOOLEAN,true,Was SLA met,Current SLA status,
silver.incident_current,_is_active,BOOLEAN,true,Is record current (not deleted),_databricks_deleted = false,

