source_table,target_table,transformation_name,description,expression_sql,notes
bronze.incident,silver.incident_flattened,derive_opened_date,Extract date from opened_at timestamp,TO_DATE(opened_at) AS opened_date,Date dimension join key
bronze.incident,silver.incident_flattened,derive_resolved_date,Extract date from resolved_at timestamp,TO_DATE(resolved_at) AS resolved_date,Date dimension join key
bronze.incident,silver.incident_flattened,derive_closed_date,Extract date from closed_at timestamp,TO_DATE(closed_at) AS closed_date,Date dimension join key
bronze.incident,silver.incident_flattened,derive_is_resolved,Flag if incident has been resolved,state IN (6) AS is_resolved,Boolean convenience flag
bronze.incident,silver.incident_flattened,derive_is_closed,Flag if incident is closed,state = 7 AS is_closed,Boolean convenience flag
bronze.incident,silver.incident_flattened,derive_time_to_resolve,Calculate hours from open to resolve,"ROUND((UNIX_TIMESTAMP(resolved_at) - UNIX_TIMESTAMP(opened_at)) / 3600.0, 2) AS time_to_resolve_hours",Null if not resolved
bronze.incident,silver.incident_flattened,derive_time_to_close,Calculate hours from open to close,"ROUND((UNIX_TIMESTAMP(closed_at) - UNIX_TIMESTAMP(opened_at)) / 3600.0, 2) AS time_to_close_hours",Null if not closed
bronze.incident,silver.incident_flattened,derive_first_response,Calculate hours to first work activity,"ROUND((UNIX_TIMESTAMP(work_start) - UNIX_TIMESTAMP(opened_at)) / 3600.0, 2) AS first_response_hours",Null if no work_start
bronze.incident,silver.incident_flattened,convert_calendar_duration,Use calendar_stc as duration seconds,calendar_stc AS calendar_duration_seconds,Already in seconds
bronze.incident,silver.incident_flattened,convert_business_duration,Use business_stc as duration seconds,business_stc AS business_duration_seconds,Already in seconds
bronze.incident,silver.incident_flattened,normalize_category,Normalize category to uppercase,UPPER(TRIM(category)) AS category,Consistent casing
bronze.incident,silver.incident_flattened,normalize_subcategory,Normalize subcategory to uppercase,UPPER(TRIM(subcategory)) AS subcategory,Consistent casing
bronze.incident,silver.incident_flattened,normalize_contact_type,Normalize contact_type to uppercase,UPPER(TRIM(contact_type)) AS contact_type,Consistent casing
bronze.incident,silver.incident_flattened,normalize_close_code,Normalize close_code to uppercase,UPPER(TRIM(close_code)) AS close_code,Consistent casing
bronze.incident,silver.incident_flattened,add_processing_timestamp,Add silver layer processing time,CURRENT_TIMESTAMP() AS _silver_processed_at,Audit column
bronze.incident,silver.incident_flattened,passthrough_scd2,Preserve SCD2 columns,"__START_AT, __END_AT, _databricks_deleted",LakeFlow managed columns
bronze.incident,silver.incident_current,filter_current_records,Filter to current non-deleted records,__END_AT IS NULL AND _databricks_deleted = false,Current state view

